#start-internal
icon=india
#end-internal
(Building Blocks)|(बिल्डिंग ब्लॉक्स)
(Favorites)|(पसंदीदा)
(Recently Used)|(हाल ही में उपयोग किए गए)
180 degrees clockwise|दक्षिणावर्त 180 डिग्री
270 degrees clockwise|दक्षिणावर्त 270 डिग्री
90 degrees clockwise|दक्षिणावर्त 90 डिग्री
A variant with that name already exists. Overwrite?|उस नाम का एक वेरिएंट पहले से मौजूद है। अधिलेखित करें?
About|के बारे में
Above|ऊपर
Access User Files|उपयोगकर्ता फ़ाइलें एक्सेस करें
Add Flexible Leads|लचीली लीड जोड़ें
Add Validation Step|सत्यापन चरण जोड़ें
All Connected|सभी जुड़े हुए
Alpha|अल्फा
Analyze|विश्लेषण करें
Analyze Guitar Diagrams|गिटार आरेखों का विश्लेषण करें
Angle|कोण
Anti-Aliasing|एंटी-अलियासिंग
Arrow Size|तीर का आकार
Author|लेखक
Auto-Create Pads|ऑटो-क्रिएट पैड
Auto-Edit Mode|ऑटो-एडिट मोड
Base|आधार
Below|नीचे
Blueprint|ब्लूप्रिंट
Board|बोर्ड
Boards|बोर्ड
Board Color|बोर्ड का रंग
Board Width|बोर्ड की चौड़ाई
Bobbin 1|बॉबिन 1
Bobbin 2|बॉबिन 2
Body|शरीर
Border|बॉर्डर
Border Thickness|बॉर्डर की मोटाई
Both|दोनों
Both Sides|दोनों तरफ
Bottom|नीचे
Bottom Left|नीचे बाएं
Bottom Right|नीचे दाएं
Bracket|ब्रैकेट
Bring Forward|आगे लाएं
Bring Selection to Front|चयन को सामने लाएं
Buffer|बफर
Center|केंद्र
Center Negative|केंद्र नकारात्मक
Center Positive|केंद्र सकारात्मक
Center Terminal|केंद्र टर्मिनल
Central|केंद्रीय
Change Password|पासवर्ड बदलें
Channel|चैनल
Chassis|चेसिस
Check Trace Proximity|ट्रेस निकटता जांचें
Circular|गोलाकार
Click on a component to highlight area directly or indirectly connected to the area below the cursor. To continue editing, this mode needs to be switched OFF|कर्सर के नीचे के क्षेत्र से सीधे या अप्रत्यक्ष रूप से जुड़े क्षेत्र को हाइलाइट करने के लिए एक घटक पर क्लिक करें। संपादन जारी रखने के लिए, इस मोड को बंद करना होगा
Click on the canvas to create a new %s or press %s to cancel|एक नया %s बनाने के लिए कैनवास पर क्लिक करें या रद्द करने के लिए %s दबाएं
Click on the canvas to set the %s control point of a new %s or press %s to cancel|एक नए %s के %s कंट्रोल पॉइंट सेट करने के लिए कैनवास पर क्लिक करें या रद्द करने के लिए %s दबाएं
Click the lightbulb icon in the bottom-right corner of the window for more info.|अधिक जानकारी के लिए विंडो के निचले दाएं कोने में लाइटबल्ब आइकन पर क्लिक करें।
Click to fetch the most recent public announcement|सबसे हाल का सार्वजनिक घोषणा प्राप्त करने के लिए क्लिक करें
Click to show recent changes and updates|हाल के परिवर्तन और अपडेट दिखाने के लिए क्लिक करें
Click to toggle to the next option|अगले विकल्प पर जाने के लिए क्लिक करें
Coil|कुंडली
Coil Border|कुंडली बॉर्डर
Coil Length|कुंडली की लंबाई
Coil Width|कुंडली की चौड़ाई
Color|रंग
Color 1|रंग 1
Color 2|रंग 2
Color code|रंग कोड
Column Spacing|कॉलम स्पेसिंग
Columns|कॉलम
Component|घटक
Component API|घटक API
Components|घटक
Config|कॉन्फ़िग
Connector|कनेक्टर
Connector (Mirrored)|कनेक्टर (मिरर किया गया)
Connectivity|कनेक्टिविटी
Contacts|संपर्क
Continuous Creation|निरंतर निर्माण
Coordinate Color|निर्देशांक रंग
Coordinate Origin|निर्देशांक मूल
Coordinates|निर्देशांक
Copy|कॉपी करें
Core|कोर
Core Border|कोर बॉर्डर
Core Thickness|कोर की मोटाई
Core Width|कोर की चौड़ाई
Could not create a new file. Check the log for details.|नई फ़ाइल नहीं बना सके। विवरण के लिए लॉग जांचें।
Could not create component. Check log for details.|घटक नहीं बना सके। विवरण के लिए लॉग जांचें।
Could not fetch public announcements.|सार्वजनिक घोषणाएं प्राप्त नहीं कर सके।
Could not save the project to file. Check the log for details.|प्रोजेक्ट को फ़ाइल में सहेज नहीं सके। विवरण के लिए लॉग जांचें।
Could not set component type slot. Check log for details.|घटक प्रकार स्लॉट सेट नहीं कर सके। विवरण के लिए लॉग जांचें।
Cover|कवर
Create B.O.M.|B.O.M. बनाएं
Create New Account|नया खाता बनाएं
Current|वर्तमान
Cut|काटें
Cut Between Holes|छेदों के बीच काटें
Cut Orientation|कट ओरिएंटेशन
DIP (Mirrored)|DIP (मिरर किया गया)
DP3T (Standard 3-Position Strat)|DP3T (स्टैंडर्ड 3-पोजीशन Strat)
DP3T (Standard 5-Position Strat)|DP3T (स्टैंडर्ड 5-पोजीशन Strat)
DP4T (4-Position Tele)|DP4T (4-पोजीशन Tele)
Dark|डार्क
Dashed|डैश किया गया
Decimals|दशमलव
Default|डिफ़ॉल्ट
Default Font|डिफ़ॉल्ट फ़ॉन्ट
Default Font Size|डिफ़ॉल्ट फ़ॉन्ट साइज़
Delete Selection|चयन हटाएं
Description|विवरण
Diameter|व्यास
Directional|दिशात्मक
Directly heated|सीधे गर्म
Display|डिस्प्ले
Display Pin #s|पिन #s दिखाएं
Dog Ear|डॉग ईयर
Dot Spacing|डॉट स्पेसिंग
Donate|दान करें
Dotted|बिंदीदार
Drag control point(s) of|कंट्रोल पॉइंट खींचें
Drag the mouse over the canvas to place a new|एक नया रखने के लिए कैनवास पर माउस खींचें
Dual Rail Humbucker|ड्यूल रेल हम्बकर
Dual Rods|ड्यूल रॉड्स
Duodecar B12C|Duodecar B12C
Duplicate|डुप्लिकेट
Edges|किनारे
Edit|संपादित करें
Edit Project Settings|प्रोजेक्ट सेटिंग्स संपादित करें
Edit Selection|चयन संपादित करें
Electrode Labels|इलेक्ट्रोड लेबल
Electro-Mechanical|इलेक्ट्रो-मैकेनिकल
Enable Cache Boost|कैश बूस्ट सक्षम करें
End Arrow|अंत तीर
Enjoying DIYLC? Click here to buy me a coffee :)|DIYLC का आनंद ले रहे हैं? मुझे कॉफी खरीदने के लिए यहां क्लिक करें :)
Error|त्रुटि
Error occurred while editing selection. Check the log for details.|चयन संपादित करते समय त्रुटि हुई। विवरण के लिए लॉग जांचें।
Exit|बाहर निकलें
Expand Selection|चयन विस्तारित करें
Explicit Dimensions|स्पष्ट आयाम
Explicit Length|स्पष्ट लंबाई
Explicit Width|स्पष्ट चौड़ाई
Export Building Blocks|बिल्डिंग ब्लॉक्स निर्यात करें
Export Grid|ग्रिड निर्यात करें
Export Variants|वेरिएंट निर्यात करें
Export to PDF|PDF में निर्यात करें
Export to PNG|PNG में निर्यात करें
Extra Working Area|अतिरिक्त कार्य क्षेत्र
Eyelet color|आईलेट रंग
FAQ|अक्सर पूछे जाने वाले प्रश्न
File|फ़ाइल
Filtertron|Filtertron
Find|खोजें
Five|पांच
Flip|फ्लिप करें
Folded|तह किया गया
Font|फ़ॉन्ट
Font Bold|फ़ॉन्ट बोल्ड
Font Italic|फ़ॉन्ट इटैलिक
Font Size|फ़ॉन्ट साइज़
Font Size Override|फ़ॉन्ट साइज़ ओवरराइड
Four|चार
Full|पूर्ण
Fuse|फ्यूज
Generate DIYLC Netlist|DIYLC नेटलिस्ट जेनरेट करें
Generate Spice Netlist|Spice नेटलिस्ट जेनरेट करें
Grid|ग्रिड
Grid Spacing|ग्रिड स्पेसिंग
Group Selection|चयन समूहित करें
Guitar|गिटार
Half|आधा
Hardware Acceleration|हार्डवेयर एक्सेलेरेशन
Heaters|हीटर
Height|ऊंचाई
Help|मदद
Hi-Quality Rendering|उच्च गुणवत्ता रेंडरिंग
Highlight Connected Areas|जुड़े क्षेत्र हाइलाइट करें
Hole|छेद
